USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
160080 99999 201111021900 ***   0 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   36   35 ****** *****  854.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111022000 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   36   33 ****** *****  854.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111022100 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   35   33 ****** *****  854.1 *** *** ***** ***** ***** ***** ** 
160080 99999 201111022200 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   34   32 ****** *****  854.1 *** *** ***** ***** ***** ***** ** 
160080 99999 201111022300 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   34   32 ****** *****  854.1 *** *** ***** ***** ***** ***** ** 
160080 99999 201111030000 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   33   31 ****** *****  853.3 *** *** *****  0.00 ***** ***** ** 
160080 99999 201111030100 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   33   31 ****** *****  854.1 *** *** ***** ***** ***** ***** ** 
160080 99999 201111030200 ***   0 *** 722 CLR 0 0 0  4.4 10 ** ** ** ** ** ** ** 0   33   31 ****** *****  853.1 *** *** ***** ***** ***** ***** ** 
160080 99999 201111030300 ***   0 *** 722 CLR 0 0 0  2.5 10 ** ** ** ** ** ** ** 0   33   31 ****** *****  852.8 *** *** ***** ***** ***** ***** ** 
160080 99999 201111030400 ***   0 *** 722 SCT 6 0 0  1.2 10 ** ** ** ** ** ** ** 0   32   29 ****** *****  852.8 *** *** ***** ***** ***** ***** ** 
160080 99999 201111030500 180   3 *** 722 SCT 6 0 0  1.2 10 ** ** ** ** ** ** ** 0   32   29 ****** *****  852.8 *** *** ***** ***** ***** ***** ** 
160080 99999 201111030600 170   7 ***   2 BKN 6 0 0  0.8 10 ** ** ** ** ** ** ** 1   32   30 ****** *****  852.6 ***  32 ***** ***** *****  0.00 ** 
160080 99999 201111030700 180   8 ***   3 BKN 6 0 0  0.8 10 ** ** ** ** ** ** ** 2   32   30 ****** *****  852.8 *** *** ***** ***** ***** ***** ** 
160080 99999 201111030800 170   8 ***   3 BKN 6 0 0  0.8 10 ** ** ** ** ** ** ** 2   32   29 ****** *****  852.9 *** *** ***** ***** ***** ***** ** 
160080 99999 201111030900 180   7 ***   5 BKN 6 0 0  1.2 10 ** ** ** ** ** ** ** 2   34   31 ****** *****  852.8 *** *** ***** ***** ***** ***** ** 
160080 99999 201111031000 160   8 ***   8 BKN 6 0 0  2.5 10 ** ** ** ** ** ** ** 2   36   32 ****** *****  852.6 *** *** ***** ***** ***** ***** ** 
160080 99999 201111031100 150   9 *** 118 BKN 6 3 0  5.0 10 ** ** ** ** ** ** ** 2   41   29 ****** *****  852.2 *** *** ***** ***** ***** ***** ** 
160080 99999 201111031200 160   9 *** 722 SCT 0 3 0  7.5 ** ** ** ** ** ** ** ** *   44   34 ****** *****  851.5 *** *** *****  0.00 ***** ***** ** 
160080 99999 201111031300 160  10 *** 722 SCT 0 3 0  7.5 ** ** ** ** ** ** ** ** *   42   33 ****** *****  851.3 *** *** ***** ***** ***** ***** ** 
160080 99999 201111031400 170   8 *** 722 SCT 0 3 0  7.5 ** ** ** ** ** ** ** ** *   41   36 ****** *****  851.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111031500 150   7 *** 118 BKN 6 3 0  6.2 ** ** ** ** ** ** ** ** *   40   35 ****** *****  851.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111031600 170   7 ***  14 BKN 6 3 0  4.4 10 ** ** ** ** ** ** ** 1   39   36 ****** *****  851.1 *** *** ***** ***** ***** ***** ** 
160080 99999 201111031700 160   7 *** 722 SCT 6 0 0  4.4 10 ** ** ** ** ** ** ** 1   38   37 ****** *****  851.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111031800 180   6 ***  20 BKN 6 0 0  4.4 10 ** ** ** ** ** ** ** 1   38   36 ****** *****  851.1  43 *** ***** ***** *****  0.00 ** 
160080 99999 201111031900 200   7 ***  20 BKN 6 0 0  4.4 10 ** ** ** ** ** ** ** 1   38   37 ****** *****  851.2 *** *** ***** ***** ***** ***** ** 
160080 99999 201111032000 160   7 ***  20 BKN 6 0 0  4.4 10 ** ** ** ** ** ** ** 2   38   37 ****** *****  851.1 *** *** ***** ***** ***** ***** ** 
160080 99999 201111032100 160   7 ***  20 BKN 6 0 0  4.4 10 ** ** ** ** ** ** ** 2   38   38 ****** *****  851.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111032200 170   6 ***  20 BKN 6 0 0  4.4 10 ** ** ** ** ** ** ** 2   37   37 ****** *****  851.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111032300 180   5 ***  20 BKN 6 0 0  4.4 10 ** ** ** ** ** ** ** 2   37   36 ****** *****  851.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111040000 150   5 ***  20 BKN 6 0 0  4.4 10 ** ** ** ** ** ** ** 2   37   36 ****** *****  850.8 *** *** *****  0.00 ***** ***** ** 
160080 99999 201111040100 120   5 ***  20 BKN 6 0 0  4.4 10 ** ** ** ** ** ** ** 2   37   36 ****** *****  850.8 *** *** ***** ***** ***** ***** ** 
160080 99999 201111040200 140   6 ***  20 BKN 6 0 0  3.8 10 ** ** ** ** ** ** ** 2   37   36 ****** *****  850.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111040300 150   7 ***  20 BKN 6 0 0  3.8 10 ** ** ** ** ** ** ** 2   37   35 ****** *****  850.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111040400 160   6 ***  20 BKN 6 0 0  3.8 10 ** ** ** ** ** ** ** 2   37   35 ****** *****  850.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111040500 210   7 ***  10 OVC 6 * *  1.9 10 ** ** ** ** ** ** ** 2   38   35 ****** *****  850.2 *** *** ***** ***** ***** ***** ** 
160080 99999 201111040600 210   8 ***   7 OVC 6 * *  0.9 ** ** ** ** ** ** ** ** *   38   35 ****** *****  850.2 ***  37 ***** ***** *****  0.00 ** 
160080 99999 201111040700 190   7 ***   7 OVC 6 * *  0.9 10 ** ** ** ** ** ** ** 2   38   35 ****** *****  850.7 *** *** ***** ***** ***** ***** ** 
160080 99999 201111040800 180   8 ***   5 OVC 6 * *  0.9 10 ** ** ** ** ** ** ** 2   38   35 ****** *****  851.2 *** *** ***** ***** ***** ***** ** 
160080 99999 201111040900 160   8 ***   8 BKN 6 0 0  2.2 10 ** ** ** ** ** ** ** 2   38   35 ****** *****  851.2 *** *** ***** ***** ***** ***** ** 
160080 99999 201111041000 140   7 ***   3 OVC 6 * *  1.6 10 ** ** ** ** ** ** ** 2   38   35 ****** *****  851.3 *** *** ***** ***** ***** ***** ** 
160080 99999 201111041100 190  10 ***   3 OVC 6 * *  0.9 60 ** ** ** ** ** ** ** 6   39   36 ****** *****  851.2 *** *** ***** ***** ***** ***** ** 
160080 99999 201111041200 180   7 ***   3 OVC 6 * *  0.9 60 ** ** ** ** ** ** ** 6   39   36 ****** *****  851.2 *** *** *****  0.00T***** ***** ** 
160080 99999 201111041300 140   7 ***   3 OVC 6 * *  1.2 21 ** ** ** ** ** ** ** 6   40   36 ****** *****  851.2 *** *** ***** ***** ***** ***** ** 
160080 99999 201111041400 120  10 ***   5 OVC 7 * *  0.8 10 ** ** ** ** ** ** ** 6   41   37 ****** *****  850.4 *** *** ***** ***** ***** ***** ** 
160080 99999 201111041500 150   9 ***   5 OVC 7 * *  0.8 10 ** ** ** ** ** ** ** 2   40   37 ****** *****  850.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111041600 190   6 ***   2 OBS * * *  0.1 47 ** ** ** ** ** ** ** 4   40   37 ****** *****  850.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111041700 130   8 ***   2 OBS * * *  0.1 45 ** ** ** ** ** ** ** 4   40   37 ****** *****  849.9 *** *** ***** ***** ***** ***** ** 
160080 99999 201111041800 130   9 ***   2 OBS * * *  0.1 44 ** ** ** ** ** ** ** 4   41   38 ****** *****  849.9  41 *** ***** ***** *****  0.00T** 
160080 99999 201111041900 160   6 ***   2 OBS * * *  0.1 45 ** ** ** ** ** ** ** 4   40   37 ****** *****  849.9 *** *** ***** ***** ***** ***** ** 
160080 99999 201111042000 150   6 ***   2 OBS * * *  0.1 45 ** ** ** ** ** ** ** 4   40   37 ****** *****  849.9 *** *** ***** ***** ***** ***** ** 
160080 99999 201111042100 150   7 ***   1 OBS * * *  0.1 45 ** ** ** ** ** ** ** 4   40   37 ****** *****  849.9 *** *** ***** ***** ***** ***** ** 
160080 99999 201111042200 120   7 ***   1 OBS * * *  0.1 45 ** ** ** ** ** ** ** 4   40   37 ****** *****  849.9 *** *** ***** ***** ***** ***** ** 
160080 99999 201111042300 130   8 ***   1 OBS * * *  0.1 45 ** ** ** ** ** ** ** 4   41   36 ****** *****  849.9 *** *** ***** ***** ***** ***** ** 
160080 99999 201111050000 120  10 ***   1 OBS * * *  0.1 45 ** ** ** ** ** ** ** 4   41   37 ****** *****  849.4 *** *** *****  0.00 ***** ***** ** 
160080 99999 201111050100 120   9 ***   1 OBS * * *  0.1 45 ** ** ** ** ** ** ** 4   41   36 ****** *****  849.2 *** *** ***** ***** ***** ***** ** 
160080 99999 201111050200 150   7 ***   1 OBS * * *  0.1 45 ** ** ** ** ** ** ** 4   41   36 ****** *****  849.3 *** *** ***** ***** ***** ***** ** 
160080 99999 201111050300 160   9 ***   1 OBS * * *  0.1 45 ** ** ** ** ** ** ** 4   41   36 ****** *****  849.2 *** *** ***** ***** ***** ***** ** 
160080 99999 201111050400 160   8 ***   1 OBS * * *  0.1 45 ** ** ** ** ** ** ** 4   43   38 ****** *****  849.2 *** *** ***** ***** ***** ***** ** 
160080 99999 201111050500 150   9 ***   0 OBS * * *  0.0 47 ** ** ** ** ** ** ** 4   41   35 ****** *****  849.7 *** *** ***** ***** ***** ***** ** 
160080 99999 201111050600 130   8 ***   0 OBS * * *  0.0 45 ** ** ** ** ** ** ** 4   41   35 ****** *****  849.7 ***  40 ***** ***** *****  0.00 ** 
160080 99999 201111050700 130   8 ***   0 OBS * * *  0.0 45 ** ** ** ** ** ** ** 4   42   37 ****** *****  850.1 *** *** ***** ***** ***** ***** ** 
160080 99999 201111050800 120   9 ***   0 OBS * * *  0.0 45 ** ** ** ** ** ** ** 4   42   36 ****** *****  849.9 *** *** ***** ***** ***** ***** ** 
160080 99999 201111050900 130   8 ***   0 OBS * * *  0.0 45 ** ** ** ** ** ** ** 4   42   36 ****** *****  849.9 *** *** ***** ***** ***** ***** ** 
160080 99999 201111051000 140   9 ***   0 OBS * * *  0.0 45 ** ** ** ** ** ** ** 4   40   35 ****** *****  850.4 *** *** ***** ***** ***** ***** ** 
160080 99999 201111051100 120  13 ***   4 OVC 7 * *  0.9 28 ** ** ** ** ** ** ** 4   43   37 ****** *****  850.5 *** *** ***** ***** ***** ***** ** 
160080 99999 201111051200 150   9 ***   4 OVC 7 * *  0.8 10 ** ** ** ** ** ** ** 4   43   37 ****** *****  849.8 *** *** *****  0.00 ***** ***** ** 
160080 99999 201111051300 150  10 ***   4 BKN 6 0 0  1.2 10 ** ** ** ** ** ** ** 2   45   38 ****** *****  849.9 *** *** ***** ***** ***** ***** ** 
160080 99999 201111051400 130  10 ***   4 OVC 6 * *  1.2 10 ** ** ** ** ** ** ** 2   45   39 ****** *****  849.7 *** *** ***** ***** ***** ***** ** 
160080 99999 201111051500 120  11 ***   8 OVC 6 * *  1.2 10 ** ** ** ** ** ** ** 2   45   40 ****** *****  849.6 *** *** ***** ***** ***** ***** ** 
160080 99999 201111051600 120  11 ***   4 OVC 6 * *  1.2 10 ** ** ** ** ** ** ** 2   44   41 ****** *****  849.8 *** *** ***** ***** ***** ***** ** 
160080 99999 201111051700 150  11 ***   4 OVC 6 * *  0.8 10 ** ** ** ** ** ** ** 2   44   40 ****** *****  849.8 *** *** ***** ***** ***** ***** ** 
160080 99999 201111051800 170  10 ***   8 OVC 6 * *  0.8 10 ** ** ** ** ** ** ** 2   44   39 ****** *****  850.2  45 *** ***** ***** *****  0.00 ** 
160080 99999 201111051900 170  10 ***   1 OBS * * *  0.1 47 ** ** ** ** ** ** ** 4   44   40 ****** *****  850.3 *** *** ***** ***** ***** ***** ** 
160080 99999 201111052000 170  10 ***   1 OBS * * *  0.1 45 ** ** ** ** ** ** ** 4   43   40 ****** *****  850.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111052100 160  11 ***   0 OBS * * *  0.1 45 ** ** ** ** ** ** ** 4   43   39 ****** *****  850.3 *** *** ***** ***** ***** ***** ** 
160080 99999 201111052200 170  10 ***   4 BKN 6 0 0  1.9 10 ** ** ** ** ** ** ** 4   43   38 ****** *****  850.3 *** *** ***** ***** ***** ***** ** 
160080 99999 201111052300 180  10 ***   4 BKN 6 0 0  1.9 10 ** ** ** ** ** ** ** 4   43   38 ****** *****  850.7 *** *** ***** ***** ***** ***** ** 
160080 99999 201111060000 160   8 ***  10 OVC 6 * *  1.9 10 ** ** ** ** ** ** ** 4   43   38 ****** *****  850.8 *** *** *****  0.00 ***** ***** ** 
160080 99999 201111060100 150   8 ***   8 OVC 6 * *  1.2 10 ** ** ** ** ** ** ** 2   43   38 ****** *****  850.9 *** *** ***** ***** ***** ***** ** 
160080 99999 201111060200 150   9 ***   0 OBS * * *  0.0 47 ** ** ** ** ** ** ** 4   43   38 ****** *****  850.7 *** *** ***** ***** ***** ***** ** 
160080 99999 201111060300 150   9 ***   0 OBS * * *  0.0 45 ** ** ** ** ** ** ** 4   43   37 ****** *****  850.6 *** *** ***** ***** ***** ***** ** 
160080 99999 201111060400 120   9 ***   0 OBS * * *  0.0 45 ** ** ** ** ** ** ** 4   43   37 ****** *****  850.7 *** *** ***** ***** ***** ***** ** 
160080 99999 201111060500 150   9 ***   0 OBS * * *  0.0 45 ** ** ** ** ** ** ** 4   43   37 ****** *****  850.6 *** *** ***** ***** ***** ***** ** 
160080 99999 201111060600 120  10 ***   0 OBS * * *  0.0 45 ** ** ** ** ** ** ** 4   43   37 ****** *****  850.5 ***  43 ***** ***** *****  0.00 ** 
160080 99999 201111060700 130  10 ***   0 OBS * * *  0.0 45 ** ** ** ** ** ** ** 4   43   37 ****** *****  850.4 *** *** ***** ***** ***** ***** ** 
160080 99999 201111060800 150   9 ***   0 OBS * * *  0.0 45 ** ** ** ** ** ** ** 4   43   37 ****** *****  850.6 *** *** ***** ***** ***** ***** ** 
160080 99999 201111060900 120   7 ***   1 OBS * * *  0.1 43 ** ** ** ** ** ** ** 4   43   37 ****** *****  851.3 *** *** ***** ***** ***** ***** ** 
160080 99999 201111061000 190   3 ***   2 OBS * * *  0.1 43 ** ** ** ** ** ** ** 4   43   37 ****** *****  851.3 *** *** ***** ***** ***** ***** ** 
160080 99999 201111061100 140   8 ***   4 OVC 6 * *  0.4 46 ** ** ** ** ** ** ** 4   44   38 ****** *****  851.5 *** *** ***** ***** ***** ***** ** 
160080 99999 201111061200 150   8 ***   4 OVC 6 * *  0.5 42 ** ** ** ** ** ** ** 4   44   39 ****** *****  851.1 *** *** *****  0.00 ***** ***** ** 
160080 99999 201111061300 150   8 ***   4 OVC 6 * *  0.5 44 ** ** ** ** ** ** ** 4   44   39 ****** *****  850.8 *** *** ***** ***** ***** ***** ** 
160080 99999 201111061400 210   7 ***   7 BKN 5 0 0  2.5 10 ** ** ** ** ** ** ** 4   44   38 ****** *****  850.9 *** *** ***** ***** ***** ***** ** 
160080 99999 201111061500 200   3 ***  30 BKN 5 0 0  5.0 10 ** ** ** ** ** ** ** 4   44   39 ****** *****  851.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111061600 170   3 ***  25 OVC 5 * *  5.0 10 ** ** ** ** ** ** ** 2   44   40 ****** *****  851.2 *** *** ***** ***** ***** ***** ** 
160080 99999 201111061700 ***   0 ***  25 OVC 5 * *  5.0 10 ** ** ** ** ** ** ** 2   43   40 ****** *****  851.1 *** *** ***** ***** ***** ***** ** 
160080 99999 201111061800 ***   0 ***  20 OVC 6 * *  3.8 10 ** ** ** ** ** ** ** 2   43   40 ****** *****  851.3  45 *** ***** ***** *****  0.00 ** 
